Level_Hierarchy	Constraint_Name	Group_Name	Previous_hierarchy	Status_previous_Hierarchy	MonophylyCorrected	Monophyletic_Constraint	PresenceDNATree	Comments
Family	Paralepididae	Paralepididae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Phosichthyidae	Phosichthyidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Scombridae	Scombridae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Scopelarchidae	Scopelarchidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Scorpaenidae	Scorpaenidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Synodontidae	Synodontidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Trachichthyidae	Trachichthyidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Acropomatidae	Acropomatidae	See_Species	Species	Not monophyletic	No	No	
Family	Ipnopidae	Ipnopidae	See_Species	Species	Not monophyletic	No	No	
Order	Acanthuriformes	Acanthuriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	We followed the restricted circumscription of DeepFinV4 where Emmelichthyidae and Sciaenidae are placed in the order Level “Incertae sedis in Eupercaria” and not in Acanthuriformes, DeeepFinV4.
Order	Alepocephaliformes	Alepocephaliformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	Monophyly supported in DeepFinV4 and Lavoue et al. (2008). Lavoué S, Miya M, Poulsen JY, Møller PR, Nishida M. Monophyly, phylogenetic position and inter-familial relationships of the Alepocephaliformes (Teleostei) based on whole mitogenome sequences. Mol Phylogenet Evol. 2008;47(3):1111–21.
Order	Anguilliformes	Anguilliformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Atheriniformes	Atheriniformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Aulopiformes	Aulopiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Beloniformes	Beloniformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Beryciformes	Beryciformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Blenniiformes	Blenniiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Centrarchiformes	Centrarchiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Chaetodontiformes	Chaetodontiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Clupeiformes	Clupeiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Ephippiformes	Ephippiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Gadiformes	Gadiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Gobiesociformes	Gobiesociformes	See_Species	Species	Monophyletic	Yes	No	
Order	Gobiiformes	Gobiiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Gonorynchiformes	Gonorynchiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Holocentriformes	Holocentriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Incertae sedis in Carangaria	Incertae sedis in Carangaria	See_Species	Species	Not monophyletic	No	DNA_Tree	Monophyly not supported in DeepFin V4.
Order	Incertae sedis in Eupercaria	Incertae sedis in Eupercaria	See_Species	Species	Not monophyletic	No	DNA_Tree	Monophyly not supported in DeepFin V4.
Order	Incertae sedis in Ovalentaria	Incertae sedis in Ovalentaria	See_Species	Species	Not monophyletic	No	DNA_Tree	Monophyly not supported in DeepFin V4.
Order	Istiophoriformes	Istiophoriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Kurtiformes	Kurtiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Labriformes	Labriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Lampriformes	Lampriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	Also called Lampridiformes in DeepFinV3 = allotriognathi
Order	Lophiiformes	Lophiiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Lutjaniformes	Lutjaniformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Mugiliformes	Mugiliformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Myctophiformes	Myctophiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Notacanthiformes	Notacanthiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Ophidiiformes	Ophidiiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Perciformes	Perciformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	Also called Serraniformes (Lautredou et al. 2013). Lautredou A-C, Motomura H, Gallut C, Ozouf-Costaz C, Cruaud C, Lecointre G, et al. Multi-scale exploration of the relationships among Serraniformes (Acanthomorpha, Teleostei) using new nuclear markers. Mol Phylogenet Evol. 2013;67(1):140–55.
Order	Polymixiiformes	Polymixiiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Priacanthiformes	Priacanthiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Scombriformes	Scombriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Spariformes	Spariformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Stomiatiformes	Stomiatiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Syngnathiformes	Syngnathiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Tetraodontiformes	Tetraodontiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Trachichthyiformes	Trachichthyiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Uranoscopiformes	Uranoscopiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Zeiformes	Zeiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Argentiniformes	Argentiniformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Pempheriformes	Pempheriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Pleuronectiformes	Pleuronectiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Acipenseriformes	Acipenseriformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Lepisosteiformes	Lepisosteiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Amiiformes	Amiiformes	See_Species	Species	Monophyletic	Yes	DNA_Tree	
Order	Carangiformes	Carangiformes	See_Species	Species	Not monophyletic	No	DNA_Tree	Here we followed DeepFin V4 rejecting the monophyly of the Carangiformes (but see Betancur et al. 2013, supporting monophyly of the group). Betancur-R R, Li C, Munroe TA, Ballesteros JA, Orti G. Addressing gene-tree discordance and non-stationarity to resolve a multi-locus phylogeny of the flatfishes (Teleostei: Pleuronectiformes). Syst Biol. 2013;62(5):763–85.
Series	Ophidiaria	Ophidiaria	Ophidiiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Gobiaria	Gobiaria	Kurtiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Gobiaria	Gobiaria	Gobiiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Syngnatharia	Syngnatharia	Syngnathiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Pelagiaria	Pelagiaria	Scombriformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Carangaria	Carangaria	Incertae sedis in Carangaria	Order	Monophyletic	Yes	DNA_Tree	
Series	Carangaria	Carangaria	Istiophoriformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Carangaria	Carangaria	Carangiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Carangaria	Carangaria	Pleuronectiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Ovalentaria	Ovalentaria	Incertae sedis in Ovalentaria	Order	Monophyletic	Yes	DNA_Tree	
Series	Ovalentaria	Ovalentaria	Atheriniformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Ovalentaria	Ovalentaria	Beloniformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Ovalentaria	Ovalentaria	Mugiliformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Ovalentaria	Ovalentaria	Blenniiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Incertae sedis in Eupercaria	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Uranoscopiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Labriformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Ephippiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Spariformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Chaetodontiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Lophiiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Tetraodontiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Acanthuriformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Pempheriformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Centrarchiformes	Order	Monophyletic	Yes	DNA_Tree	
Series	Eupercaria	Eupercaria	Perciformes	Order	Monophyletic	Yes	DNA_Tree	
Subdivision	Percomorphaceae	Percomorphaceae	Ophidiaria	Series	Monophyletic	Yes	DNA_Tree	
Subdivision	Percomorphaceae	Percomorphaceae	Gobiaria	Series	Monophyletic	Yes	DNA_Tree	
Subdivision	Percomorphaceae	Percomorphaceae	Syngnatharia	Series	Monophyletic	Yes	DNA_Tree	
Subdivision	Percomorphaceae	Percomorphaceae	Pelagiaria	Series	Monophyletic	Yes	DNA_Tree	
